,ex_energy
763,6.950186
764,6.57537
765,6.844735
766,6.340258
767,6.3742137
768,5.9318576
769,7.3303337
770,7.455176
771,6.8467517
772,6.786464
773,7.060145
774,5.940438
775,6.889334
776,7.570582
777,5.8080506
778,5.908031
779,5.7878346
780,6.380526
781,6.914415
782,5.9530935
783,6.5540295
784,5.930943
785,6.4853673
786,6.699878
787,7.0572186
788,6.3493447
789,6.677066
790,5.8436704
791,6.8565598
792,7.825878
793,5.7147083
794,7.5853715
795,6.9644613
796,6.688017
797,6.688299
798,7.643954
799,6.815914
800,5.9089475
801,5.8328433
802,6.2262235
803,7.1057997
804,7.1292048
805,6.7208214
806,6.421143
807,6.6355476
808,7.09267
809,6.736709
810,6.3826857
811,7.727701
812,6.902212
813,6.8140287
814,6.209557
815,6.7505317
816,6.339267
817,5.889145
818,6.0063643
819,7.360605
820,6.5709786
821,5.936082
822,6.851018
823,6.894098
824,6.6953
825,6.5933766
826,6.820462
827,7.418619
828,7.1050606
829,6.593318
830,6.427993
831,6.9324064
832,6.0399537
833,6.2575407
834,6.766713
835,5.9334993
836,7.3171706
837,7.6828976
838,6.5000887
839,6.2416854
840,6.300839
841,6.550236
842,6.7306304
843,6.608475
844,6.8127646
845,6.971435
846,6.926445
847,6.3043594
848,6.8473063
849,6.682288
850,5.8682704
851,6.316357
852,5.8901963
853,6.633693
854,6.613618
855,6.494067
856,5.9798846
857,5.8161616
858,6.6041975
859,6.7813087
860,6.217487
861,7.810601
862,6.931083
863,6.3308606
864,7.222977
865,6.838202
866,6.364615
867,6.857533
868,7.322466
869,6.58336
870,6.62977
871,5.832575
872,5.946636
873,5.952593
874,7.142004
875,6.678916
876,7.2236977
877,7.868346
878,6.129901
879,6.737323
880,6.3326445
881,5.888369
882,6.642979
883,6.1771274
884,5.9241023
885,6.5137515
886,6.597378
887,6.4038205
888,7.5715384
889,5.913755
890,6.2857323
891,6.3346953
892,6.6164875
893,6.3134203
894,7.0032945
895,6.617832
896,6.4127307
897,6.2376275
898,7.0182076
899,6.6974306
900,5.91799
901,5.9164367
902,6.7545657
903,6.451697
904,7.373443
905,6.8105063
906,6.3652835
907,6.6329293
908,6.409229
909,7.40609
910,7.463055
911,6.162299
912,6.8219795
913,6.3641305
914,6.6766863
915,6.4601846
916,6.9190717
917,7.047595
918,7.7886333
919,6.7695775
920,7.1656756
921,6.3697767
922,6.743935
923,7.5775166
924,6.606035
925,5.893537
926,6.3014402
927,5.8616905
928,5.903171
929,7.6141195
930,7.267611
931,6.323907
932,5.9910264
933,7.4259386
934,5.9721107
935,7.500581
936,6.821325
937,6.8003488
938,6.3378453
939,6.8546147
940,6.24628
941,6.3108354
942,6.3495364
943,6.6873493
944,6.7777333
945,6.413203
946,6.7333694
947,7.2383084
948,5.9653974
949,6.2695966
950,6.224254
951,6.8116136
952,6.5704365
953,6.845287
954,6.289433
955,7.330583
956,7.13717
957,6.279944
958,5.969974
959,6.848111
960,5.9640455
961,6.025278
962,6.2231064
963,7.486207
964,7.298465
965,6.7899284
966,7.1878924
967,7.3973503
968,7.0090103
969,6.5326324
970,7.138277
971,6.738474
972,6.782501
973,6.6055865
974,6.7190166
975,6.1304436
976,6.5755725
977,6.7102947
978,6.910131
979,6.0142093
980,6.2754183
981,6.8716717
982,6.7574396
983,6.4057837
984,7.4333987
985,6.163221
986,5.9455137
987,6.284809
988,6.3360844
989,5.9673142
990,7.4840436
991,5.996564
992,6.7493367
993,6.2027183
994,6.814518
995,6.255124
996,5.89998
997,7.3566914
998,6.269348
999,6.739367
1000,5.8286695
1001,6.4642787
1002,7.6025953
1003,6.340811
1004,6.753059
1005,6.2910633
1006,7.5117803
1007,6.9563932
1008,6.9847136
1009,6.6357403
1010,5.957521
1011,6.5066724
1012,6.3686323
1013,6.451194
1014,6.6821766
1015,7.172198
1016,6.32479
1017,7.368872
1018,6.495655
1019,6.4873524
1020,5.932486
1021,5.8262796
1022,5.827871
1023,5.8698835
1024,5.8668804
