Row,ic_E,ic_dE
507,1037.4508,476.57730
508,1005.9500,467.89395
509,367.08667,530.42364
510,529.01995,495.85498
511,485.62512,520.02960
512,373.01580,519.95062
513,447.69915,519.99975
514,1070.5196,483.95932
515,919.14306,462.22271
516,900.55548,458.44738
517,1057.2703,487.86267
518,382.58123,546.19671
519,431.29095,532.60412
520,953.83575,442.70806
521,893.68512,455.85424
522,393.66183,543.83667
523,1053.5493,475.87527
524,946.35302,429.01785
525,917.1427,454.77514
526,694.50164,475.74609
527,518.16656,513.99047
528,1015.6728,477.55761
529,928.17425,455.03884
530,370.70825,539.36163
531,874.71191,467.07202
532,404.90716,548.53045
533,879.59503,454.78140
534,902.11663,436.95129
535,317.74331,484.74227
536,1039.1765,468.35775
537,889.93139,453.51852
538,448.10003,543.35754
539,869.31488,458.74249
540,456.85458,521.81005
541,1030.0355,494.63024
542,1052.2543,480.63159
543,461.69384,517.62200
544,996.47998,481.43096
545,854.513,457.95590
546,1055.8833,472.60049
547,881.31042,455.27777
548,1043.5799,484.54782
549,1026.6318,459.04513
550,908.57794,451.33529
551,1034.4724,494.75088
552,932.40277,436.97723
553,917.78234,443.83615
554,430.16272,503.31671
555,354.12683,544.48101
556,1037.9870,501.11151
557,1025.6334,483.56930
558,405.03677,531.51098
559,911.35369,446.75946
560,1034.9383,494.56274
561,433.37207,517.32708
562,431.92648,534.62518
563,461.55584,525.84155
564,892.29620,432.39917
565,1035.6798,469.79205
566,1063.4896,485.80749
567,926.22699,448.20108
568,806.37841,370.63385
569,1023.0109,463.76281
570,292.87091,540.51733
571,464.67742,511.20980
572,1044.4001,470.38159
573,910.08947,437.36059
574,420.73584,529.25885
575,1053.1843,467.11364
576,1020.5620,486.02038
577,1029.8635,507.82247
578,917.98284,451.72811
579,393.95477,543.94946
580,371.64636,549.26849
581,949.97424,458.85647
582,919.69323,450.67669
583,1015.4358,477.02807
584,419.69793,538.02093
585,929.35424,441.04110
586,874.01574,444.79168
587,270.03607,541.38134
588,912.77166,449.33071
589,1051.3909,476.72430
590,1048.0538,488.30242
591,457.06140,516.93365
592,435.64019,528.28692
593,1026.6632,491.97146
594,1024.1630,459.68118
595,1035.4736,471.91482
596,401.34680,546.73950
597,393.73870,526.71594
598,911.56536,398.73471
599,481.24456,509.96679
600,1026.4552,479.52185
601,1013.6733,477.68679
602,832.16784,460.18423
603,859.84381,412.51669
604,1059.3439,492.96292
605,897.21948,474.14895
606,475.09332,525.40130
607,1049.4816,449.30096
608,537.04919,524.42230
609,1048.1235,466.85336
610,904.52941,439.48443
611,1031.1721,445.78518
612,1021.4048,499.61511
613,711.54229,485.85583
614,452.75192,519.07849
615,461.85931,522.27569
616,1048.5336,483.03601
617,501.61956,511.25122
618,316.07699,488.61563
619,887.83673,451.15158
620,1032.9998,480.02621
621,904.85534,441.03537
622,433.20556,516.85028
623,1018.3837,486.49960
624,440.09442,531.2948
625,438.34777,529.62866
626,1030.2381,474.28448
627,370.52642,530.51660
628,909.59240,449.83609
629,459.42645,526.98382
630,471.97464,527.73193
631,1049.0101,481.46917
632,1020.7302,465.77728
633,443.45809,508.68600
634,995.14080,476.58514
635,906.80688,396.83712
636,952.14355,422.99966
637,437.38647,514.81274
638,460.88970,522.69226
639,888.96258,454.71719
640,459.84838,534.58227
641,414.79562,522.56799
642,423.62774,522.05041
643,932.10522,432.30691
644,929.49847,456.48538
645,451.81295,513.38446
646,790.35736,461.16717
647,1012.6043,488.86209
648,416.01397,521.75952
649,1051.3900,477.61483
650,932.39544,455.24935
651,1028.9364,471.79370
652,432.65072,526.22876
653,895.55304,441.00714
654,939.14923,447.68771
655,421.70233,516.38909
656,824.66943,462.71618
657,1051.7624,465.05166
658,431.18756,541.70019
659,1048.1647,471.74008
660,462.32150,524.42382
661,815.24316,482.05838
662,433.85760,529.45013
663,431.72015,529.60913
664,912.36700,429.53418
665,452.43661,504.03939
666,1041.4801,475.78668
667,919.86694,435.49227
668,886.85528,457.81646
669,1049.6691,478.25021
670,903.20184,456.19155
671,571.11499,437.42709
672,465.14761,517.05334
673,879.30114,455.69928
674,947.56530,446.91531
675,834.50592,474.86755
676,352.62051,545.16973
677,532.16601,526.82788
678,958.83343,458.77554
679,411.96444,558.07885
680,462.63436,507.11261
681,1052.7658,456.37695
682,469.43273,513.80786
683,1020.7783,456.17968
684,1032.3227,484.82452
685,871.08239,462.67874
686,438.28872,538.17620
687,463.95025,533.52594
688,1034.7872,478.31643
689,514.42950,513.62243
690,418.82107,538.44720
691,479.14624,517.86767
692,915.17749,436.61749
693,418.10415,523.13623
694,220.94374,483.60137
695,455.67456,511.07251
696,1018.7545,463.91500
697,923.25811,451.27771
698,898.84246,470.97860
699,931.45575,451.33892
700,1041.7495,471.67263
701,1034.4691,484.42089
702,1048.1315,480.26016
703,874.47387,471.45471
704,1056.1041,464.82476
705,453.43319,531.66290
706,852.30267,455.73849
707,1042.5015,465.94302
708,1064.7731,476.20083
709,439.68277,522.78430
710,471.37945,521.21569
711,438.84173,525.92767
712,957.47192,439.04397
713,937.74456,453.37411
714,999.11505,492.61337
715,567.05889,431.59118
716,372.72976,537.76068
717,442.61254,525.85443
718,1038.7408,481.42904
719,464.23690,524.26898
720,1023.9536,460.50369
721,474.97921,519.17999
722,1062.4389,483.11920
723,1033.9067,479.18048
724,1033.1425,488.40942
725,450.45330,530.27807
726,819.57055,455.86361
727,518.72399,514.26007
728,512.07110,514.27282
729,1013.0612,474.37976
730,1016.2014,478.27319
731,1038.2819,469.90786
732,1026.2050,455.07974
733,872.86041,449.79104
734,940.20123,453.04367
735,911.22491,443.65142
736,426.10830,535.43731
737,916.96618,440.72598
738,416.92779,539.18951
739,890.41601,455.51541
740,911.51751,432.18746
741,930.90960,448.13696
742,1025.5379,476.85314
743,867.37237,458.84112
744,1045.0333,459.09011
745,916.56158,463.42938
746,600.27380,474.93927
747,1027.2857,469.97967
748,478.96701,499.95297
749,920.77819,457.83889
750,864.90301,474.25408
751,894.59735,447.51586
752,429.10409,536.19122
753,1043.7080,466.98175
754,1052.3892,476.58663
755,536.58294,533.03601
756,857.11755,448.44671
757,1052.9543,484.65658
758,403.29983,523.85064
759,460.2836,524.62725
760,511.09841,505.75280
761,887.70965,461.90078
762,386.39907,556.70764
763,857.18286,438.72073
764,397.93002,542.08837
765,393.93771,535.14105
766,1000.0983,486.63247
767,851.03857,453.32116
768,341.67569,519.70849
769,1048.7518,474.14379
770,1035.1057,491.66861
771,875.63342,454.63256
772,403.73648,534.99414
773,483.34094,514.27746
774,419.11294,536.56182
775,802.27386,473.70608
776,849.56341,452.34326
777,464.05715,515.19531
778,806.18359,471.57965
779,427.79757,536.46557
780,912.82818,452.98953
781,463.22177,524.83367
782,919.55023,458.42694
783,633.14874,476.74206
784,390.89346,528.93261
785,866.20843,469.87960
786,1041.0152,467.97091
787,470.46435,522.18512
788,1023.5123,480.81558
789,949.51403,445.66998
790,1031.4658,487.55154
791,948.29840,447.35360
792,475.94158,515.66461
793,809.13201,468.23913
794,688.14990,465.83657
795,1000.4331,465.03866
796,1044.8469,471.03561
797,1047.7703,459.60650
798,444.01879,537.62945
799,1059.2839,484.40704
800,159.64352,530.13470
801,1038.0677,463.0448
802,1018.4746,468.51849
803,385.14956,546.25872
804,415.34228,548.96374
805,904.57257,443.56146
806,948.59649,426.05242
807,930.60461,469.48654
808,1048.1234,472.83291
809,892.54071,438.14675
810,916.67785,443.67123
811,1047.6130,492.62802
812,955.23175,459.35372
813,422.49060,544.62860
814,1010.7076,476.74014
815,929.09936,452.40026
816,915.30261,434.17834
817,1018.2506,481.61343
818,361.01779,541.35546
819,421.38153,516.03027
820,938.08325,441.44128
821,911.22161,433.81054
822,939.25976,448.00546
823,853.91406,459.25534
824,880.02374,451.36529
825,914.89868,454.91571
826,953.74383,444.70443
827,1031.8400,477.82241
828,875.96765,444.43710
829,891.95581,460.93597
830,406.70141,545.59582
831,411.87860,495.62121
832,934.98718,444.97912
833,393.61389,529.28234
834,1042.6414,468.51306
835,921.80487,442.15197
836,1026.2392,473.00598
837,955.89288,431.03448
838,938.66607,448.81201
839,1042.3768,497.73236
840,999.85687,487.15756
841,880.27044,464.28949
842,919.17486,423.95752
843,923.13476,441.30325
844,357.10092,540.13885
845,583.93945,458.09191
846,866.28808,444.68066
847,1040.2634,469.06295
848,500.55648,519.65673
849,439.37518,538.86877
850,1046.3118,456.69433
851,487.39245,522.44903
852,892.76647,458.85372
853,1051.0766,464.82305
854,783.92498,458.58966
855,460.97644,437.41671
856,413.37591,530.99340
857,835.31475,477.76470
858,1026.1241,460.39007
859,903.96075,456.60687
860,454.15231,517.53076
861,918.74975,451.97692
862,1053.3324,460.69030
863,1037.2093,479.12689
864,365.61541,563.91308
865,1051.9077,473.60159
866,941.26153,454.16970
867,456.98477,517.39605
868,820.70147,401.85971
869,939.35681,433.14785
870,1015.3783,464.15158
871,931.04290,447.77847
872,1034.8886,467.28082
873,1031.9145,458.59207
874,973.17901,440.27511
875,413.46618,517.85345
876,1046.3731,477.61035
877,928.67614,444.58078
878,439.76748,524.10247
879,507.98416,493.39959
880,389.26501,534.49945
881,893.11010,455.91009
882,360.93304,525.57666
883,413.92413,543.73913
884,899.83563,442.52722
885,324.89343,551.66326
886,918.10986,459.77639
887,489.4021,519.82287
888,478.98129,503.49511
889,902.65582,463.50457
890,1022.4270,465.65252
891,911.51025,447.78280
892,488.39193,507.06277
893,1018.8316,482.21286
894,889.46527,443.41711
895,917.61535,439.42227
896,288.01269,433.20648
897,471.45956,503.59747
898,927.15881,442.75054
899,846.81439,448.71856
900,268.97143,578.66168
901,859.50714,448.63949
902,1061.4007,463.56335
903,847.68566,467.60665
904,390.25601,544.35974
905,800.18981,464.36926
906,1021.2113,461.54498
907,1054.5286,485.58606
908,1035.1690,461.94464
909,436.79217,528.20074
910,892.84668,449.65014
911,1046.2645,486.36978
912,421.35983,533.32434
913,828.24865,366.4729
914,518.16528,502.14907
915,884.08392,452.89108
916,1048.7351,468.44015
